Brand,Model,Interface,Form Factor,Capacities,Controller,Configuration,DRAM,HMB,NAND Brand,NAND Type,Layers,"R (Up to, in MB/s)","W (Up to, in MB/s)",Categories,Notes (*)
ADATA,Falcon,x4 PCIe 3.0/NVMe,M.2,1TB,Realtek RTS5762DL,"Dual-core, 8-ch, 4-CE/ch",No,Yes,Micron,TLC,96,3100,1500,Entry-Level NVMe,
ADATA,Falcon,x4 PCIe 3.0/NVMe,M.2,2TB,Realtek RTS5762DL,"Dual-core, 8-ch, 4-CE/ch",No,Yes,Micron,TLC,96,3100,1500,Entry-Level NVMe,
ADATA,Legend 710,x4 PCIe 3.0/NVMe,M.2,256GB,Realtek RTS5766DL,4-Ch,No,Yes,,,,2400,1800,Entry-Level NVMe,
ADATA,Legend 710,x4 PCIe 3.0/NVMe,M.2,512GB,Realtek RTS5766DL,4-Ch,No,Yes,,,,2400,1800,Entry-Level NVMe,
ADATA,Legend 710,x4 PCIe 3.0/NVMe,M.2,1TB,Realtek RTS5766DL,4-Ch,No,Yes,,,,2400,1800,Entry-Level NVMe,
ADATA,Legend 740,x4 PCIe 3.0/NVMe,M.2,250GB,Realtek RTS5766DL,4-Ch,No,Yes,,,,2500,2000,Entry-Level NVMe,
ADATA,Legend 740,x4 PCIe 3.0/NVMe,M.2,500GB,Realtek RTS5766DL,4-Ch,No,Yes,,,,2500,2000,Entry-Level NVMe,
ADATA,Legend 740,x4 PCIe 3.0/NVMe,M.2,1000GB,Realtek RTS5766DL,4-Ch,No,Yes,,,,2500,2000,Entry-Level NVMe,
ADATA,Legend 740,x4 PCIe 3.0/NVMe,M.2,1TB,Realtek RTS5766DL,4-Ch,No,Yes,,,,2500,2000,Entry-Level NVMe,
ADATA,Legend 750,x4 PCIe 3.0/NVMe,M.2,500GB,Maxio MAP1202,"Dual R5, 4x4",No,Yes,,,,3500,3000,Mid-Range NVMe,
ADATA,Legend 750,x4 PCIe 3.0/NVMe,M.2,1000GB,Maxio MAP1202,"Dual R5, 4x4",No,Yes,,,,3500,3000,Mid-Range NVMe,
ADATA,Legend 750,x4 PCIe 3.0/NVMe,M.2,1TB,Maxio MAP1202,"Dual R5, 4x4",No,Yes,,,,3500,3000,Mid-Range NVMe,
ADATA,Legend 800,x4 PCIe 4.0/NVMe,M.2,,SMI SM2267XT,"Dual R5, 4x4",,,,,,3500,2800,Entry-Level NVMe,"Variable controller and flash, incl QLC"
ADATA,Legend 820,x4 PCIe 4.0/NVMe,M.2,1TB,,,,,,,,5000,4500,,2230
ADATA,Legend 820,x4 PCIe 4.0/NVMe,M.2,2TB,,,,,,,,5000,4500,,2230
ADATA,Legend 840,x4 PCIe 4.0/NVMe,M.2,512GB,InnoGrit IG5220,"Tri-core R5, 4x8",No,Yes,Micron,TLC,176,5000,4500,Mid-Range NVMe,
ADATA,Legend 840,x4 PCIe 4.0/NVMe,M.2,1TB,InnoGrit IG5220,"Tri-core R5, 4x8",No,Yes,Micron,TLC,176,5000,4500,Mid-Range NVMe,
ADATA,Legend 850,x4 PCIe 4.0/NVMe,M.2,512GB,SMI SM2269XT,"Dual-core R8, 4-ch",No,Yes,,TLC,,5000,4500,Mid-Range NVMe,
ADATA,Legend 850,x4 PCIe 4.0/NVMe,M.2,1TB,SMI SM2269XT,"Dual-core R8, 4-ch",No,Yes,,TLC,,5000,4500,Mid-Range NVMe,
ADATA,Legend 850,x4 PCIe 4.0/NVMe,M.2,2TB,SMI SM2269XT,"Dual-core R8, 4-ch",No,Yes,,TLC,,5000,4500,Mid-Range NVMe,
ADATA,Legend 850 Lite,x4 PCIe 4.0/NVMe,M.2,500GB,SMI SM2269XT,"Dual-core R8, 4-ch",No,Yes,,TLC,,5000,4200,Mid-Range NVMe,"3-yr, lower TBW; QLC at 2TB?"
